"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2601","Estudiante del CUAAD crea nuevas esculturas de Minerva, para reflexionar sobre el arte urbano en Guadalajara","NULL","NULL","NULL","El artista Francisco Orozco, estudiante de la maestría en Educación y Expresión para las Artes, instala obras al oriente de la ciudad","9291","NULL"
"2602","UdeG y sociedad civil anuncian campaña histórica para promover uso de cubrebocas","NULL","NULL","NULL","Por primera vez, universidades, gobiernos, iniciativa privada, sindicatos, todos los partidos políticos y medios de comunicación, así como artistas, influencers y equipos deportivos, se unen para impulsar esta medida de prevención contra el COVID-19 ","9292","NULL"
"2602","UdeG y sociedad civil anuncian campaña histórica para promover uso de cubrebocas","NULL","NULL","NULL","Por primera vez, universidades, gobiernos, iniciativa privada, sindicatos, todos los partidos políticos y medios de comunicación, así como artistas, influencers y equipos deportivos, se unen para impulsar esta medida de prevención contra el COVID-19 ","9293","NULL"
"2603","Anuncia UdeG cambios en el examen de admisión para cuidar la salud de los aspirantes","NULL","NULL","NULL","En ninguna preparatoria se aplicará examen de admisión; en licenciaturas, únicamente las que tengan un promedio histórico de admisión menor al 30 por ciento","9294","NULL"
"2603","Anuncia UdeG cambios en el examen de admisión para cuidar la salud de los aspirantes","NULL","NULL","NULL","En ninguna preparatoria se aplicará examen de admisión; en licenciaturas, únicamente las que tengan un promedio histórico de admisión menor al 30 por ciento","9295","NULL"
"2603","Anuncia UdeG cambios en el examen de admisión para cuidar la salud de los aspirantes","NULL","NULL","NULL","En ninguna preparatoria se aplicará examen de admisión; en licenciaturas, únicamente las que tengan un promedio histórico de admisión menor al 30 por ciento","9296","NULL"
"2604","Periodismo científico es clave para que población esté bien informada y afronte la pandemia","NULL","NULL","NULL","Información basada en datos científicos combatirá noticias falsas, destacan en webinar “Periodismo científico y divulgación científica en tiempos de pandemia”","9297","NULL"
"2605","Admitirá UdeG, por primera vez en la historia, a todos los aspirantes a sus preparatorias","NULL","NULL","NULL","65 mil 125 jóvenes tienen asegurado un cupo en el plantel al que hicieron trámites. Mientras que 8 mil 454 podrán estudiar en Bachillerato General por Áreas Interdisciplinarias o en UDGVirtual a través de becas con el apoyo del Gobierno de Jalisco","9298","NULL"
"2607","Realizan 22 mil 926 jóvenes examen de admisión a UdeG durante la primera jornada de aplicación","NULL","NULL","NULL","Este martes será el segundo día de pruebas en CUAAD, CUCEI, CUAltos, CUCosta y CUSur","9309","NULL"
"2607","Realizan 22 mil 926 jóvenes examen de admisión a UdeG durante la primera jornada de aplicación","NULL","NULL","NULL","Este martes será el segundo día de pruebas en CUAAD, CUCEI, CUAltos, CUCosta y CUSur","9310","NULL"
"2607","Realizan 22 mil 926 jóvenes examen de admisión a UdeG durante la primera jornada de aplicación","NULL","NULL","NULL","Este martes será el segundo día de pruebas en CUAAD, CUCEI, CUAltos, CUCosta y CUSur","9311","NULL"
"2607","Realizan 22 mil 926 jóvenes examen de admisión a UdeG durante la primera jornada de aplicación","NULL","NULL","NULL","Este martes será el segundo día de pruebas en CUAAD, CUCEI, CUAltos, CUCosta y CUSur","9312","NULL"
"2608","Estudiante del CUAAD retoma vocación museística de la Casa de los Perros","NULL","NULL","NULL","Mediante el proyecto “Se mueve” convoca a concurso de fotoperiodismo y charlas para impulsar la museología social","9313","NULL"
"2608","Estudiante del CUAAD retoma vocación museística de la Casa de los Perros","NULL","NULL","NULL","Mediante el proyecto “Se mueve” convoca a concurso de fotoperiodismo y charlas para impulsar la museología social","9314","NULL"
"2609","Índex del CUAAD celebra primer aniversario con charlas virtuales sobre fotografía","NULL","NULL","NULL","A través de una plataforma, académicos y estudiantes difunden el trabajo de talentos de Artes Visuales para la Expresión Fotográfica","9315","NULL"
"2609","Índex del CUAAD celebra primer aniversario con charlas virtuales sobre fotografía","NULL","NULL","NULL","A través de una plataforma, académicos y estudiantes difunden el trabajo de talentos de Artes Visuales para la Expresión Fotográfica","9316","NULL"
"2609","Índex del CUAAD celebra primer aniversario con charlas virtuales sobre fotografía","NULL","NULL","NULL","A través de una plataforma, académicos y estudiantes difunden el trabajo de talentos de Artes Visuales para la Expresión Fotográfica","9317","NULL"
"2610","Reactiva UdeG programa de entrega de despensas","NULL","NULL","NULL","Se entregarán 30 mil a estudiantes","9318","NULL"
"2610","Reactiva UdeG programa de entrega de despensas","NULL","NULL","NULL","Se entregarán 30 mil a estudiantes","9319","NULL"
"2610","Reactiva UdeG programa de entrega de despensas","NULL","NULL","NULL","Se entregarán 30 mil a estudiantes","9320","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9325","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9326","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9327","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9328","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9329","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9330","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9331","NULL"
"2611","Concluye tercera jornada de aplicación de examen de admisión a la UdeG","NULL","NULL","NULL","Este miércoles asistieron 2 mil 72 aspirantes al CUAAD y CUCBA para presentar el examen de ingreso al ciclo escolar 2020-B","9332","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9333","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9334","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9335","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9336","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9337","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9338","NULL"
"2612","Rinde protesta doctora Leticia Leal Moya como Coordinadora Ejecutiva de la Sede Tlajomulco de la UdeG","NULL","NULL","NULL","En este campus, además de ingenierías, se ofrecerán carreras del ramo de la salud, medio ambiente y economía","9339","NULL"
"2613","Zapatean a la distancia el Jarabe tapatío","NULL","NULL","NULL","Investigador del CUAAD imparte charla-taller en encuentro virtual organizado por instancia colaboradora de la UNESCO","9340","NULL"
